Maand,etoro: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,4
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,4
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,2
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,2
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,2
2011-10,3
2011-11,3
2011-12,2
2012-01,2
2012-02,3
2012-03,5
2012-04,4
2012-05,3
2012-06,2
2012-07,3
2012-08,3
2012-09,2
2012-10,2
2012-11,2
2012-12,3
2013-01,3
2013-02,4
2013-03,3
2013-04,3
2013-05,3
2013-06,0
2013-07,3
2013-08,3
2013-09,4
2013-10,4
2013-11,5
2013-12,5
2014-01,3
2014-02,5
2014-03,4
2014-04,4
2014-05,4
2014-06,4
2014-07,4
2014-08,4
2014-09,4
2014-10,2
2014-11,4
2014-12,2
2015-01,3
2015-02,3
2015-03,4
2015-04,3
2015-05,3
2015-06,4
2015-07,3
2015-08,4
2015-09,3
2015-10,3
2015-11,3
2015-12,4
2016-01,2
2016-02,2
2016-03,3
2016-04,3
2016-05,4
2016-06,4
2016-07,4
2016-08,3
2016-09,1
2016-10,2
2016-11,3
2016-12,2
2017-01,3
2017-02,3
2017-03,3
2017-04,4
2017-05,7
2017-06,9
2017-07,7
2017-08,9
2017-09,9
2017-10,12
2017-11,22
2017-12,69
2018-01,54
2018-02,17
2018-03,11
2018-04,13
2018-05,10
2018-06,9
2018-07,9
2018-08,8
2018-09,10
2018-10,8
2018-11,7
2018-12,10
2019-01,8
2019-02,8
2019-03,9
2019-04,9
2019-05,17
2019-06,15
2019-07,12
2019-08,11
2019-09,11
2019-10,12
2019-11,10
2019-12,6
2020-01,14
2020-02,19
2020-03,16
2020-04,21
2020-05,17
2020-06,15
2020-07,15
2020-08,20
2020-09,19
2020-10,14
2020-11,25
2020-12,41
2021-01,83
2021-02,100
2021-03,72
2021-04,67
2021-05,32
2021-06,22
2021-07,24
2021-08,32
2021-09,31
2021-10,37
2021-11,42
2021-12,29
2022-01,32
2022-02,30
2022-03,30
2022-04,30
2022-05,28
2022-06,22
2022-07,21
2022-08,33
2022-09,21
2022-10,21
2022-11,21
2022-12,17
2023-01,27
2023-02,27
2023-03,24
2023-04,21
2023-05,21
2023-06,25
2023-07,26
2023-08,26
2023-09,24
2023-10,22
2023-11,25
2023-12,24
2024-01,32
2024-02,34
2024-03,43
2024-04,27
2024-05,27
2024-06,23
2024-07,21
2024-08,26
2024-09,24
2024-10,27
2024-11,37
2024-12,35
2025-01,37
2025-02,27
2025-03,24
2025-04,28
2025-05,26
