Maand;degiro: (Nederland);DEGIRO: (Nederland)
sep-13;5;7
okt-13;4;5
nov-13;4;10
dec-13;4;7
jan-14;6;10
feb-14;6;14
mrt-14;5;13
apr-14;4;9
mei-14;3;9
jun-14;4;8
jul-14;4;8
aug-14;5;9
sep-14;6;9
okt-14;6;11
nov-14;6;11
dec-14;7;13
jan-15;9;15
feb-15;10;20
mrt-15;12;20
apr-15;10;15
mei-15;8;15
jun-15;8;14
jul-15;9;16
aug-15;9;15
sep-15;8;14
okt-15;9;15
nov-15;8;16
dec-15;9;16
jan-16;7;13
feb-16;9;16
mrt-16;9;16
apr-16;10;16
mei-16;8;24
jun-16;10;17
jul-16;11;18
aug-16;10;18
sep-16;9;17
okt-16;10;17
nov-16;11;18
dec-16;10;9
jan-17;10;18
feb-17;14;24
mrt-17;12;22
apr-17;9;15
mei-17;12;28
jun-17;10;20
jul-17;10;20
aug-17;13;24
sep-17;12;23
okt-17;14;26
nov-17;18;30
dec-17;17;27
jan-18;20;33
feb-18;17;32
mrt-18;13;23
apr-18;14;26
mei-18;12;29
jun-18;13;21
jul-18;12;20
aug-18;14;24
sep-18;11;18
okt-18;13;19
nov-18;11;17
dec-18;10;14
jan-19;11;12
feb-19;12;13
mrt-19;11;11
apr-19;11;13
mei-19;10;14
jun-19;9;14
jul-19;12;20
aug-19;13;22
sep-19;11;20
okt-19;12;21
nov-19;12;21
dec-19;13;22
jan-20;16;26
feb-20;20;37
mrt-20;43;74
apr-20;29;50
mei-20;23;36
jun-20;29;44
jul-20;24;39
aug-20;23;36
sep-20;23;36
okt-20;23;41
nov-20;34;56
dec-20;34;55
jan-21;65;97
feb-21;63;100
mrt-21;40;71
apr-21;37;63
mei-21;31;49
jun-21;29;42
jul-21;24;38
aug-21;27;39
sep-21;25;39
okt-21;27;41
nov-21;39;47
dec-21;29;40
jan-22;38;58
feb-22;34;49
mrt-22;38;54
apr-22;31;40
mei-22;29;40
jun-22;26;33
jul-22;25;35
aug-22;32;40
sep-22;27;34
okt-22;26;33
nov-22;28;36
dec-22;25;31
jan-23;35;45
feb-23;36;44
mrt-23;42;48
apr-23;28;35
mei-23;31;38
jun-23;30;36
jul-23;34;36
aug-23;28;37
sep-23;23;33
okt-23;26;33
nov-23;27;35
dec-23;33;40
jan-24;35;46
feb-24;37;44
mrt-24;36;49
apr-24;33;43
mei-24;28;36
jun-24;27;37
jul-24;27;35
aug-24;36;48
sep-24;25;33
okt-24;28;36
nov-24;28;37
dec-24;36;42
jan-25;40;49
feb-25;34;42
mrt-25;35;41
apr-25;35;47
mei-25;24;33
